,sparsity,learning_rate,n_factors,regularization,RMSE,MAE,Bias,Variance,Accuracy_half,Accuracy_one,Coverage,Avg_Precision,Avg_Recall
0,7.9e-05,0.001,5,0.01,1.069495818050614,0.855924269601555,3.608410575461076,0.5718764351944526,0.7485125711726697,2.2935192885931803,0.0,0.0,0.0
1,7.9e-05,0.001,5,0.05,1.069495818050614,0.855924269601555,3.608410575461076,0.5718764351944526,0.7485125711726697,2.2935192885931803,0.0,0.0,0.0
2,7.9e-05,0.001,5,0.1,1.069495818050614,0.855924269601555,3.608410575461076,0.5718764351944526,0.7485125711726697,2.2935192885931803,0.0,0.0,0.0
3,7.9e-05,0.001,10,0.01,1.069495818050614,0.855924269601555,3.608410575461076,0.5718764351944526,0.7485125711726697,2.2935192885931803,0.0,0.0,0.0
4,7.9e-05,0.001,10,0.05,1.069495818050614,0.855924269601555,3.608410575461076,0.5718764351944526,0.7485125711726697,2.2935192885931803,0.0,0.0,0.0
5,7.9e-05,0.001,10,0.1,1.069495818050614,0.855924269601555,3.608410575461076,0.5718764351944526,0.7485125711726697,2.2935192885931803,0.0,0.0,0.0
6,7.9e-05,0.001,20,0.01,1.069495818050614,0.855924269601555,3.608410575461076,0.5718764351944526,0.7485125711726697,2.2935192885931803,0.0,0.0,0.0
7,7.9e-05,0.001,20,0.05,1.069495818050614,0.855924269601555,3.608410575461076,0.5718764351944526,0.7485125711726697,2.2935192885931803,0.0,0.0,0.0
8,7.9e-05,0.001,20,0.1,1.069495818050614,0.855924269601555,3.608410575461076,0.5718764351944526,0.7485125711726697,2.2935192885931803,0.0,0.0,0.0
9,7.9e-05,0.001,30,0.01,1.069495818050614,0.855924269601555,3.608410575461076,0.5718764351944526,0.7485125711726697,2.2935192885931803,0.0,0.0,0.0
10,7.9e-05,0.001,30,0.05,1.069495818050614,0.855924269601555,3.608410575461076,0.5718764351944526,0.7485125711726697,2.2935192885931803,0.0,0.0,0.0
11,7.9e-05,0.001,30,0.1,1.069495818050614,0.855924269601555,3.608410575461076,0.5718764351944526,0.7485125711726697,2.2935192885931803,0.0,0.0,0.0
12,7.9e-05,0.002,5,0.01,1.069495818050614,0.855924269601555,3.608410575461076,0.5718764351944526,0.7485125711726697,2.2935192885931803,0.0,0.0,0.0
13,7.9e-05,0.002,5,0.05,1.069495818050614,0.855924269601555,3.608410575461076,0.5718764351944526,0.7485125711726697,2.2935192885931803,0.0,0.0,0.0
14,7.9e-05,0.002,5,0.1,1.069495818050614,0.855924269601555,3.608410575461076,0.5718764351944526,0.7485125711726697,2.2935192885931803,0.0,0.0,0.0
15,7.9e-05,0.002,10,0.01,1.069495818050614,0.855924269601555,3.608410575461076,0.5718764351944526,0.7485125711726697,2.2935192885931803,0.0,0.0,0.0
16,7.9e-05,0.002,10,0.05,1.069495818050614,0.855924269601555,3.608410575461076,0.5718764351944526,0.7485125711726697,2.2935192885931803,0.0,0.0,0.0
17,7.9e-05,0.002,10,0.1,1.069495818050614,0.855924269601555,3.608410575461076,0.5718764351944526,0.7485125711726697,2.2935192885931803,0.0,0.0,0.0
